date,tmax,tmin,tavg,precip
2022-07-22,30.8,25.5,27.8,45.5
2022-07-23,33.7,25.0,28.9,23.9
2022-07-24,33.4,25.8,28.8,10.5
2022-07-25,32.1,24.7,27.7,15.1
2022-07-26,32.3,25.1,27.8,17.3
2022-07-27,30.5,25.2,27.3,11.2
2022-07-28,30.6,24.7,27.4,8.0
2022-07-29,30.4,25.5,27.6,13.0
2022-07-30,30.4,25.3,27.7,14.8
2022-07-31,33.2,26.1,29.5,0.3
2022-08-01,33.6,27.2,29.9,0.2
2022-08-02,32.2,26.8,29.0,4.6
2022-08-03,31.7,25.1,27.6,28.4
2022-08-04,32.0,26.2,28.4,2.8
2022-08-05,31.9,25.4,28.4,4.5
2022-08-06,32.4,26.5,29.1,6.7
2022-08-07,32.5,25.7,28.2,18.1
2022-08-08,33.5,26.0,29.3,6.2
2022-08-09,34.5,27.3,30.6,0.5
2022-08-10,33.4,27.9,30.0,0.2
2022-08-11,32.3,27.6,29.6,1.3
2022-08-12,32.4,25.9,28.6,2.2
2022-08-13,33.1,25.3,28.9,1.1
2022-08-14,31.6,25.8,28.1,10.7
2022-08-15,30.0,25.9,27.7,23.8
2022-08-16,31.8,26.5,28.4,1.4
2022-08-17,32.6,25.3,28.8,0.0
2022-08-18,33.2,26.3,29.5,0.0
2022-08-19,33.0,26.4,28.9,13.4
2022-08-20,32.7,25.2,28.1,24.8
2022-08-21,32.0,26.0,28.3,9.5
2022-08-22,31.8,24.9,28.4,16.0
2022-08-23,32.5,25.2,28.8,0.0
2022-08-24,30.9,25.2,28.0,2.3
2022-08-25,31.1,25.4,27.6,9.4
2022-08-26,30.6,25.0,27.7,10.0
2022-08-27,32.3,25.5,28.4,16.5
2022-08-28,32.3,26.2,28.6,8.4
2022-08-29,31.2,25.6,27.8,8.8
2022-08-30,32.2,25.5,28.7,2.4
2022-08-31,31.8,26.4,29.2,5.8
2022-09-01,32.0,25.7,28.2,19.0
2022-09-02,31.7,26.0,28.4,3.0
2022-09-03,33.7,26.2,29.8,0.5
2022-09-04,33.8,26.5,29.9,0.0
2022-09-05,33.2,25.8,29.5,0.0
2022-09-06,33.7,25.7,29.8,0.0
2022-09-07,33.8,26.5,30.0,0.0
2022-09-08,32.8,26.5,29.1,0.8
2022-09-09,32.7,26.4,29.0,3.8
2022-09-10,33.0,25.8,28.9,0.4
2022-09-11,32.7,26.5,29.4,0.6
2022-09-12,30.8,26.0,27.9,3.6
2022-09-13,30.3,24.8,26.7,10.7
2022-09-14,29.6,24.6,26.0,25.1
2022-09-15,27.1,24.2,25.3,42.7
2022-09-16,30.1,24.6,26.3,16.5
2022-09-17,30.0,24.4,26.5,4.5
2022-09-18,32.0,24.1,27.8,1.3
2022-09-19,31.7,24.6,28.0,1.6
2022-09-20,30.5,25.1,27.0,26.5
2022-09-21,29.3,24.4,26.0,42.9
2022-09-22,29.5,24.2,26.2,29.7
2022-09-23,30.7,23.7,26.6,10.2
2022-09-24,30.2,24.5,26.8,2.8
2022-09-25,30.2,23.7,26.3,22.6
2022-09-26,31.1,23.8,26.8,1.9
2022-09-27,31.8,24.3,27.5,0.3
2022-09-28,32.2,23.3,27.5,0.0
2022-09-29,32.8,23.5,27.7,0.0
2022-09-30,31.6,23.4,27.3,0.0
2022-10-01,31.8,22.9,27.2,0.4
2022-10-02,32.5,23.9,27.9,0.0
2022-10-03,32.9,23.9,28.2,0.0
2022-10-04,30.7,25.1,26.9,28.2
2022-10-05,28.0,24.5,25.3,20.9
2022-10-06,28.4,23.6,25.2,20.4
2022-10-07,27.9,23.7,25.1,20.9
2022-10-08,29.3,23.7,25.4,13.4
2022-10-09,30.6,23.8,26.0,38.6
2022-10-10,29.6,23.3,25.7,21.8
2022-10-11,29.1,22.5,24.6,18.6
2022-10-12,29.5,21.7,25.1,0.1
2022-10-13,29.9,21.3,24.9,0.2
2022-10-14,29.5,19.9,24.4,0.1
2022-10-15,29.6,19.4,24.6,0.0
2022-10-16,29.8,21.2,25.3,0.0
2022-10-17,30.2,20.0,24.7,0.0
