date,tmax,tmin,tavg,precip
2022-07-22,29.0,25.3,27.0,4.8
2022-07-23,27.0,24.9,25.9,28.2
2022-07-24,26.5,25.0,25.6,25.8
2022-07-25,28.1,25.0,26.5,10.2
2022-07-26,27.5,25.5,26.4,4.1
2022-07-27,28.4,25.2,26.5,6.5
2022-07-28,28.9,24.6,27.1,2.5
2022-07-29,29.4,25.7,27.5,1.1
2022-07-30,29.3,26.2,27.6,0.2
2022-07-31,29.1,25.7,27.5,2.0
2022-08-01,29.1,26.0,27.4,2.1
2022-08-02,29.3,25.9,27.4,2.8
2022-08-03,29.0,25.7,27.3,10.3
2022-08-04,28.6,25.5,27.2,13.6
2022-08-05,27.2,25.7,26.3,27.2
2022-08-06,27.7,25.3,26.2,33.7
2022-08-07,27.8,25.8,26.4,56.5
2022-08-08,27.3,25.7,26.4,32.6
2022-08-09,26.8,25.4,26.2,71.3
2022-08-10,27.4,25.6,26.3,37.6
2022-08-11,28.1,25.8,26.6,23.1
2022-08-12,28.1,25.3,26.6,16.1
2022-08-13,28.6,25.3,26.8,13.1
2022-08-14,28.3,24.9,26.9,11.0
2022-08-15,26.9,24.9,25.9,29.0
2022-08-16,26.3,25.0,25.6,64.1
2022-08-17,27.5,25.0,26.2,19.3
2022-08-18,27.8,25.0,26.5,10.5
2022-08-19,28.0,25.3,26.2,11.9
2022-08-20,28.0,25.4,26.5,6.2
2022-08-21,27.8,25.3,26.4,5.8
2022-08-22,27.3,25.2,26.3,9.1
2022-08-23,28.1,25.1,26.3,7.9
2022-08-24,28.0,24.9,26.2,7.8
2022-08-25,27.6,25.0,26.0,6.1
2022-08-26,28.0,24.4,26.2,2.2
2022-08-27,28.2,24.8,26.4,1.8
2022-08-28,28.1,24.7,26.4,2.0
2022-08-29,28.8,24.5,26.5,1.2
2022-08-30,29.5,25.4,27.2,0.6
2022-08-31,29.6,25.2,27.5,18.7
2022-09-01,29.0,25.2,26.8,1.7
2022-09-02,30.5,25.2,27.5,10.0
2022-09-03,30.0,25.8,27.7,0.9
2022-09-04,28.7,26.1,27.1,9.9
2022-09-05,29.1,26.1,27.5,1.8
2022-09-06,29.2,25.6,27.2,4.9
2022-09-07,30.2,25.4,27.2,20.1
2022-09-08,28.6,25.0,26.6,39.7
2022-09-09,29.7,25.1,27.2,27.0
2022-09-10,29.6,25.6,27.0,13.2
2022-09-11,29.3,25.0,26.7,25.5
2022-09-12,28.6,25.1,26.4,21.8
2022-09-13,26.8,25.1,26.1,51.7
2022-09-14,27.6,25.4,26.1,81.9
2022-09-15,27.9,25.4,26.3,68.7
2022-09-16,26.2,24.7,25.6,96.6
2022-09-17,27.5,24.4,25.4,36.6
2022-09-18,26.6,24.1,25.1,61.8
2022-09-19,27.9,24.3,26.0,2.9
2022-09-20,26.3,24.4,25.3,15.0
2022-09-21,27.1,24.3,25.3,12.3
2022-09-22,25.8,24.3,25.1,18.0
2022-09-23,28.2,24.2,26.0,4.0
2022-09-24,27.3,24.4,25.5,5.2
2022-09-25,27.5,24.4,25.9,4.7
2022-09-26,27.9,23.6,25.9,3.0
2022-09-27,28.1,23.9,26.1,0.9
2022-09-28,28.1,24.4,26.2,2.3
2022-09-29,28.1,24.1,26.1,2.0
2022-09-30,29.1,24.5,26.6,2.2
2022-10-01,28.0,23.4,26.1,10.3
2022-10-02,28.7,24.1,26.3,0.7
2022-10-03,28.7,24.3,26.4,0.6
2022-10-04,29.5,24.5,27.1,0.0
2022-10-05,30.1,25.0,27.4,2.4
2022-10-06,29.6,25.4,27.5,3.5
2022-10-07,27.1,24.5,26.0,27.7
2022-10-08,27.4,24.9,25.9,31.9
2022-10-09,29.0,25.3,26.9,1.1
2022-10-10,29.9,24.3,27.0,0.2
2022-10-11,30.0,24.5,26.8,11.1
2022-10-12,28.4,24.2,25.9,13.8
2022-10-13,29.8,24.0,26.6,2.1
2022-10-14,30.6,24.6,26.6,14.5
2022-10-15,32.0,24.1,27.6,0.9
2022-10-16,32.1,24.7,27.8,0.0
2022-10-17,30.0,25.1,27.3,6.4
2022-10-18,27.7,24.6,26.2,7.4
2022-10-19,29.6,24.7,26.6,4.4
2022-10-20,29.7,24.2,26.8,0.7
2022-10-21,30.9,24.8,27.0,3.8
2022-10-22,30.5,24.8,27.2,1.3
2022-10-23,31.5,22.8,26.4,0.0
2022-10-24,30.7,20.5,25.5,0.0
2022-10-25,30.1,21.4,25.5,0.0
2022-10-26,30.6,21.0,25.3,0.0
2022-10-27,30.7,21.2,25.4,0.0
2022-10-28,31.2,20.7,25.7,0.0
2022-10-29,31.9,20.6,25.7,0.0
2022-10-30,31.9,20.4,25.7,0.0
2022-10-31,31.9,20.6,25.5,0.0
2022-11-01,31.6,21.1,25.5,0.0
2022-11-02,31.7,21.2,25.7,0.0
2022-11-03,33.4,20.7,26.1,0.0
2022-11-04,33.5,21.1,26.3,0.0
2022-11-05,33.4,21.1,26.4,0.0
2022-11-06,33.1,21.1,26.0,0.0
2022-11-07,31.9,19.9,25.4,0.0
2022-11-08,32.4,21.1,26.1,0.0
2022-11-09,31.8,21.2,26.2,0.0
2022-11-10,32.5,21.5,26.0,0.0
2022-11-11,33.2,21.2,26.6,0.0
2022-11-12,33.1,22.1,26.7,0.0
2022-11-13,32.9,22.2,26.7,0.0
2022-11-14,32.6,21.7,26.3,0.0
2022-11-15,31.6,21.7,26.3,0.0
2022-11-16,32.3,21.7,26.3,0.0
2022-11-17,32.5,21.7,26.1,0.0
2022-11-18,31.8,21.8,25.8,0.0
2022-11-19,31.5,20.9,25.4,0.0
2022-11-20,30.4,19.7,24.4,0.0
2022-11-21,29.9,18.4,23.7,0.0
2022-11-22,30.9,18.9,24.2,0.0
2022-11-23,31.5,21.5,25.6,0.0
2022-11-24,31.4,20.7,25.5,0.0
2022-11-25,32.0,21.1,26.1,0.0
2022-11-26,32.2,22.5,26.6,0.0
2022-11-27,30.7,22.2,26.3,0.0
2022-11-28,30.3,20.5,25.1,0.0
2022-11-29,29.9,19.7,24.4,0.0
2022-11-30,32.2,20.7,26.0,0.0
2022-12-01,32.6,21.2,26.0,0.0
2022-12-02,32.1,19.7,25.2,0.0
2022-12-03,31.2,20.1,25.3,0.0
2022-12-04,32.4,22.1,26.6,0.0
2022-12-05,31.8,23.0,26.9,0.0
2022-12-06,32.3,23.6,27.0,0.0
2022-12-07,32.2,22.7,26.7,0.0
2022-12-08,31.4,21.1,26.0,0.0
2022-12-09,30.4,20.2,24.6,0.0
2022-12-10,31.5,18.1,23.9,0.0
2022-12-11,31.0,18.8,24.8,0.0
2022-12-12,32.0,21.9,26.7,0.0
2022-12-13,32.5,24.4,27.8,0.0
2022-12-14,32.2,25.6,28.1,0.2
2022-12-15,31.8,24.5,27.3,0.0
2022-12-16,33.4,23.7,27.6,0.0
2022-12-17,33.6,23.9,27.7,0.0
2022-12-18,33.4,24.9,28.1,0.0
2022-12-19,31.4,23.7,27.1,0.0
2022-12-20,30.5,21.5,26.0,0.0
2022-12-21,31.1,20.4,25.4,0.0
2022-12-22,31.1,20.2,25.1,0.0
2022-12-23,29.6,21.1,24.5,0.0
2022-12-24,28.9,19.2,22.8,0.0
2022-12-25,27.7,16.5,21.7,0.0
2022-12-26,28.1,16.2,21.9,0.0
2022-12-27,29.8,17.6,23.3,0.0
2022-12-28,30.4,18.3,23.8,0.0
2022-12-29,30.7,18.5,24.1,0.0
2022-12-30,30.7,18.4,24.2,0.0
2022-12-31,29.5,19.6,23.7,0.0
2023-01-01,27.4,16.5,22.0,0.0
2023-01-02,29.3,16.6,22.6,0.0
2023-01-03,29.3,17.1,22.8,0.0
2023-01-04,28.7,17.2,22.7,0.0
2023-01-05,29.9,19.5,24.0,0.0
2023-01-06,31.7,20.5,25.5,0.0
2023-01-07,32.1,22.5,26.2,0.0
2023-01-08,31.5,21.4,25.5,0.0
2023-01-09,30.8,19.0,24.2,0.0
2023-01-10,31.2,17.3,23.5,0.0
2023-01-11,29.5,16.2,22.7,0.0
2023-01-12,28.3,16.8,22.1,0.0
2023-01-13,26.7,19.6,22.3,0.0
2023-01-14,26.1,15.9,20.8,0.0
2023-01-15,25.9,14.9,20.2,0.0
2023-01-16,25.8,14.7,20.2,0.0
2023-01-17,27.1,16.1,20.9,0.0
2023-01-18,29.4,15.2,22.0,0.0
2023-01-19,28.1,16.4,22.3,0.0
2023-01-20,27.6,17.0,21.8,0.0
2023-01-21,27.4,17.8,22.0,0.0
2023-01-22,27.0,18.1,21.9,0.0
2023-01-23,25.8,16.8,21.1,0.0
2023-01-24,25.6,16.8,20.9,0.0
2023-01-25,26.6,17.4,21.2,0.0
2023-01-26,27.4,18.2,22.4,0.0
2023-01-27,32.7,20.5,25.1,0.0
2023-01-28,30.9,19.8,24.4,0.0
2023-01-29,26.0,21.7,23.4,1.0
2023-01-30,28.1,20.1,23.5,0.0
2023-01-31,30.5,21.3,25.2,0.0
2023-02-01,33.6,23.3,27.1,0.0
2023-02-02,34.0,23.4,27.2,0.0
2023-02-03,32.4,21.1,25.5,0.0
2023-02-04,31.8,18.8,24.8,0.0
2023-02-05,31.0,19.8,24.5,0.0
2023-02-06,29.5,18.0,23.9,0.0
2023-02-07,31.4,19.3,24.5,0.0
2023-02-08,31.3,17.7,24.5,0.0
2023-02-09,33.8,19.3,25.5,0.0
2023-02-10,31.6,18.6,24.7,0.0
2023-02-11,31.8,17.9,24.5,0.0
2023-02-12,32.8,17.7,25.5,0.0
2023-02-13,33.9,22.0,26.9,0.0
2023-02-14,33.1,19.9,25.5,0.0
2023-02-15,33.2,17.9,25.3,0.0
2023-02-16,35.0,20.7,27.0,0.0
2023-02-17,34.3,21.7,27.5,0.0
2023-02-18,35.0,19.3,27.1,0.0
2023-02-19,35.7,18.7,26.3,0.0
2023-02-20,31.0,19.2,25.7,0.0
2023-02-21,32.1,19.2,25.5,0.0
2023-02-22,30.1,19.5,24.7,0.0
2023-02-23,33.0,20.0,25.7,0.0
2023-02-24,34.4,21.3,27.1,0.0
2023-02-25,34.0,21.8,27.4,0.0
2023-02-26,34.9,20.5,26.8,0.0
2023-02-27,34.9,22.2,27.2,0.0
2023-02-28,33.3,19.7,26.0,0.0
2023-03-01,32.8,20.5,26.2,0.0
2023-03-02,35.2,21.5,27.6,0.0
2023-03-03,33.8,21.4,27.5,0.0
2023-03-04,34.3,22.0,27.8,0.0
2023-03-05,36.3,22.8,28.9,0.0
2023-03-06,36.4,24.5,29.9,0.1
2023-03-07,36.1,24.0,28.9,0.0
2023-03-08,35.4,23.1,28.1,0.0
2023-03-09,36.7,23.3,29.4,0.0
2023-03-10,35.3,24.2,29.0,0.0
2023-03-11,36.9,22.1,29.3,0.0
2023-03-12,37.8,23.3,29.4,0.0
2023-03-13,37.5,24.2,29.3,0.0
2023-03-14,36.7,23.3,28.7,0.0
2023-03-15,34.8,23.4,28.6,0.0
2023-03-16,32.4,22.9,27.1,13.3
2023-03-17,30.8,22.5,26.8,0.7
2023-03-18,30.9,24.2,27.1,0.0
2023-03-19,29.9,22.8,26.3,0.0
2023-03-20,29.6,23.4,26.4,0.0
2023-03-21,29.1,21.9,25.8,0.7
2023-03-22,30.2,22.7,26.3,0.0
2023-03-23,30.2,22.9,26.4,0.4
2023-03-24,30.3,22.5,26.2,0.0
2023-03-25,29.8,21.2,25.2,0.0
2023-03-26,29.7,20.5,25.1,0.0
2023-03-27,29.9,21.0,25.5,0.0
2023-03-28,30.0,22.5,25.8,0.0
2023-03-29,30.0,22.0,25.7,0.0
2023-03-30,29.6,22.8,26.3,0.2
2023-03-31,29.5,23.8,26.5,0.4
2023-04-01,30.1,22.4,26.0,0.0
2023-04-02,30.2,22.3,26.1,0.0
2023-04-03,30.2,22.8,26.3,0.0
2023-04-04,30.9,23.2,26.6,0.0
2023-04-05,31.1,22.0,26.8,0.0
2023-04-06,33.2,23.5,28.2,0.0
2023-04-07,34.2,25.4,29.9,0.0
2023-04-08,35.2,25.7,29.7,0.0
2023-04-09,35.9,25.7,29.9,0.0
2023-04-10,36.0,26.2,30.4,0.0
2023-04-11,35.0,26.6,30.1,0.0
2023-04-12,35.8,26.7,30.8,0.0
2023-04-13,35.3,27.3,30.9,0.0
2023-04-14,35.3,26.8,30.3,0.0
2023-04-15,35.3,25.3,29.3,0.0
2023-04-16,34.2,24.2,28.7,0.0
2023-04-17,34.2,24.6,28.9,0.0
2023-04-18,37.3,26.4,31.7,0.0
2023-04-19,36.6,28.3,32.4,0.0
2023-04-20,35.0,26.3,30.2,0.0
2023-04-21,32.4,24.3,28.2,0.0
2023-04-22,31.7,23.9,27.8,0.0
2023-04-23,31.7,24.5,28.1,0.0
2023-04-24,32.4,24.6,28.2,0.0
2023-04-25,32.8,25.2,28.7,0.0
2023-04-26,31.5,26.0,28.6,0.0
2023-04-27,32.0,25.3,28.4,0.0
2023-04-28,32.0,25.6,28.6,0.0
2023-04-29,31.7,26.2,28.4,0.4
2023-04-30,31.6,24.5,28.1,0.5
2023-05-01,31.7,24.8,28.1,2.1
2023-05-02,31.6,25.3,28.5,0.7
2023-05-03,31.9,25.7,28.7,0.0
2023-05-04,31.7,24.9,28.3,0.5
2023-05-05,32.4,25.1,28.6,0.4
2023-05-06,32.0,25.3,28.6,0.1
2023-05-07,30.1,25.5,27.9,8.2
2023-05-08,32.4,27.7,29.7,0.5
2023-05-09,33.1,27.8,30.1,0.0
2023-05-10,34.1,27.4,30.4,0.0
2023-05-11,34.6,26.4,30.6,0.0
2023-05-12,34.1,27.6,30.4,0.0
2023-05-13,33.4,27.8,30.4,0.0
2023-05-14,33.3,27.4,30.1,0.0
2023-05-15,33.3,28.3,30.4,0.5
2023-05-16,33.7,27.8,30.6,0.3
2023-05-17,33.5,27.5,30.2,0.0
2023-05-18,33.3,27.2,30.0,0.1
2023-05-19,33.6,26.9,30.0,0.2
2023-05-20,32.7,27.7,29.9,0.0
2023-05-21,33.0,27.8,30.0,0.0
2023-05-22,33.1,27.2,29.8,0.0
2023-05-23,33.6,26.5,29.7,0.0
2023-05-24,33.4,27.4,30.2,0.0
2023-05-25,33.4,28.3,30.8,0.0
2023-05-26,32.8,29.1,30.8,2.0
2023-05-27,33.8,28.4,31.1,0.0
2023-05-28,33.9,28.3,31.0,0.0
2023-05-29,33.7,28.0,30.5,0.0
2023-05-30,34.0,27.3,30.5,0.0
2023-05-31,34.6,28.0,30.8,0.0
2023-06-01,33.6,27.2,30.1,0.0
2023-06-02,33.5,28.1,30.7,0.0
2023-06-03,34.7,29.1,31.5,0.1
2023-06-04,33.7,29.1,31.0,0.8
2023-06-05,33.3,28.7,30.7,0.4
2023-06-06,33.9,28.9,30.9,0.1
2023-06-07,33.6,28.8,31.0,0.0
2023-06-08,34.2,29.5,31.4,0.8
2023-06-09,33.2,28.3,30.7,4.0
2023-06-10,33.3,27.8,30.4,3.6
2023-06-11,32.8,25.8,29.7,3.8
2023-06-12,32.4,26.4,28.9,5.3
2023-06-13,31.2,26.4,28.4,5.6
2023-06-14,30.4,25.9,28.6,2.8
2023-06-15,32.0,28.3,29.9,2.8
2023-06-16,31.4,27.4,29.6,4.6
2023-06-17,31.5,27.3,29.2,6.6
2023-06-18,31.2,27.7,29.3,4.6
2023-06-19,31.5,27.8,29.5,2.4
2023-06-20,31.6,27.6,29.4,1.1
2023-06-21,31.7,27.7,29.5,2.9
2023-06-22,31.7,27.6,29.6,1.9
2023-06-23,30.9,26.8,28.8,2.9
2023-06-24,29.4,25.3,27.1,20.7
2023-06-25,27.6,25.6,26.5,32.9
2023-06-26,26.8,25.3,25.9,23.2
2023-06-27,27.2,24.8,26.1,23.2
2023-06-28,27.9,25.7,26.4,45.7
2023-06-29,26.9,25.5,26.1,50.0
2023-06-30,26.9,25.4,26.2,55.8
2023-07-01,28.3,25.0,26.4,40.5
2023-07-02,28.5,25.5,26.8,34.7
2023-07-03,29.0,26.2,27.3,8.6
2023-07-04,29.3,25.5,27.1,48.3
2023-07-05,28.4,25.3,26.7,35.9
2023-07-06,27.1,25.0,25.8,97.5
